CustomerID,BeneficiaryName,AccountNumber,BankName,IFSCCode,IsBlocked,CreatedDate
1,Bala Das,90010897423938,Bank of Baroda,BARB2704,0,2022-08-12
2,Anita Sharma,82739360963339,ICICI Bank,ICIC2918,0,2020-06-16
3,Gokul Kumar,86655125644278,Kotak Mahindra Bank,KKBK8521,0,2023-10-11
4,Gokul Kumar,16767844268240,Punjab National Bank,PUNB8538,0,2022-03-31
5,Suresh Singh,75308174519895,HDFC Bank,HDFC2229,0,2022-08-16
6,Sathish Singh,70686843958507,Indian Bank,IDIB2490,0,2020-10-26
7,Rahul Das,02713824310560,ICICI Bank,ICIC3401,0,2021-12-22
8,Bala Patel,27713542571148,Indian Bank,IDIB1327,0,2023-06-09
9,Gokul Sharma,27881400715428,Punjab National Bank,PUNB1456,0,2021-04-13
10,Rahul Das,69865162123248,State Bank of India,SBIN9934,0,2025-06-12
11,Neha Patel,78707975850472,Kotak Mahindra Bank,KKBK1971,0,2022-10-15
12,Vignesh Kumar,57955459632607,Axis Bank,UTIB5383,0,2024-08-09
13,Neha Kumar,54212781018055,Canara Bank,CNRB1567,1,2023-04-16
14,Sathish Nair,23064650642130,Canara Bank,CNRB7296,0,2021-03-21
15,Rahul Das,04193840240991,Indian Bank,IDIB1346,0,2023-04-28
16,Deepa Raj,40335117780053,Union Bank,UBIN9873,0,2025-01-30
17,Lakshmi Rao,76737259233458,Union Bank,UBIN5359,0,2024-05-03
18,Reshma Menon,06505820792915,Punjab National Bank,PUNB9420,0,2020-06-19
19,Divya Kumar,68392261385299,Union Bank,UBIN4550,0,2023-11-21
20,Gokul Menon,79793559125191,Bank of Baroda,BARB3796,0,2023-05-02
21,Bala Nair,84454363635475,Canara Bank,CNRB9646,0,2025-03-18
22,Suresh Rao,62942050835572,HDFC Bank,HDFC4312,0,2021-02-14
23,Bala Nair,65683408515141,Canara Bank,CNRB2899,0,2020-02-02
24,Deepa Menon,44377990289310,Union Bank,UBIN7838,0,2023-11-12
25,Lakshmi Menon,81368804515677,Punjab National Bank,PUNB4184,0,2022-09-24
26,Anita Iyer,34959926947069,Axis Bank,UTIB1138,0,2022-05-20
27,Reshma Iyer,44344904582132,Indian Bank,IDIB7005,0,2023-04-04
28,Anjali Patel,62903663756261,Punjab National Bank,PUNB7371,0,2022-12-25
29,Harish Sharma,24758292003210,ICICI Bank,ICIC6694,0,2022-05-26
30,Priya Singh,13695058865811,HDFC Bank,HDFC5459,0,2023-02-09
31,Suresh Patel,98883572020741,State Bank of India,SBIN2245,0,2020-07-11
32,Sneha Kumar,62998508196813,HDFC Bank,HDFC2026,0,2021-02-10
33,Reshma Sharma,39177433641481,HDFC Bank,HDFC8152,0,2023-05-01
34,Kiran Raj,79158709751006,State Bank of India,SBIN5776,0,2025-02-19
35,Anita Menon,12292282797342,Axis Bank,UTIB3012,0,2022-07-05
36,Neha Patel,78123606510853,Bank of Baroda,BARB4300,0,2022-12-29
37,Nisha Iyer,92483235668137,Bank of Baroda,BARB7270,0,2021-07-07
38,Arun Das,99896420137609,Indian Bank,IDIB2341,0,2024-02-10
39,Divya Patel,06620636098807,Indian Bank,IDIB8947,0,2024-09-16
40,Divya Kumar,97096470504920,Kotak Mahindra Bank,KKBK4412,0,2024-02-26
